midc_name,district,region,electrode_potential,sales_priority,typical_sectors,source
Lote Parshuram MIDC,Ratnagiri,Konkan,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Lote-Parshuram,Ratnagiri,Konkan,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Ratnagiri-Mirjole,Ratnagiri,Konkan,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Sadavali,Ratnagiri,Konkan,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Sangameshwar (Mini),Ratnagiri,Konkan,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Addl. Palus (Wine Park),Sangli,Western Maharashtra,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Islampur,Sangli,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Jath (Mini),Sangli,Western Maharashtra,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Kadegaon (Mini),Sangli,Western Maharashtra,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Kavathe-Mahankal,Sangli,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Palus (Mini),Sangli,Western Maharashtra,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Sangli-Miraj,Sangli,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Sangli-Miraj-Kupwad MIDC,Sangli,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Shalgaon-Bombalewadi,Sangli,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Shirala,Sangli,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Vita,Sangli,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Addl. Phaltan,Satara,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Karad,Satara,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Karad MIDC,Satara,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Khandala Ph-1,Satara,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Khandala Ph-2,Satara,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Khandala Ph-3,Satara,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Koregaon,Satara,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Lonand,Satara,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Mhaswad,Satara,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Patan,Satara,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Phaltan,Satara,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Phaltan (SEZ),Satara,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Phaltan MIDC,Satara,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,Sales alias
Satara,Satara,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Satara MIDC,Satara,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Wai,Satara,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Kudal,Sindhudurg,Konkan,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Barshi,Solapur,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Chincholi,Solapur,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Karmala,Solapur,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Kurduwadi,Solapur,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Mangalwedha,Solapur,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Solapur,Solapur,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Solapur MIDC,Solapur,Western Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Tembhurni,Solapur,Western Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Addl. Ambernath,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Addl. Ambernath Pale Ph-3,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Addl. Murbad,Thane,Mumbai Metro,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Airoli MIDC,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Ambernath,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Ambernath MIDC,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Badlapur,Thane,Mumbai Metro,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Dombivli,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Dombivli MIDC,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Kalyan-Bhiwandi,Thane,Mumbai Metro,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Mahape MIDC,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Mira,Thane,Mumbai Metro,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Murbad,Thane,Mumbai Metro,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Rabale MIDC,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
T.T.C.,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Thane,Thane,Mumbai Metro,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
TTC MIDC (Trans Thane Creek),Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Wagle Estate,Thane,Mumbai Metro,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,Sales alias
Deoli,Wardha,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Hinganghat (Mini),Wardha,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Karanja (Mini),Wardha,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Samudrapur (Mini),Wardha,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Wardha,Wardha,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Malegaon (Mini),Washim,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Mangrulpir (Mini),Washim,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Manora (Mini),Washim,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Risod (Mini),Washim,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Washim,Washim,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Addl. Yavatmal,Yavatmal,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Darwha (Mini),Yavatmal,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Digras (Mini),Yavatmal,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Ghatanji (Mini),Yavatmal,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Kelapur Pandharkawada,Yavatmal,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Mahagaon (Mini),Yavatmal,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Maregaon (Mini),Yavatmal,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Pusad,Yavatmal,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Umarkhed (Mini),Yavatmal,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Wani,Yavatmal,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Yavatmal,Yavatmal,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Non-MIDC Industrial Estate,,,Varies,Case-by-case,Any industrial buyer outside MIDC,Sales alias
Other / Outside MIDC,,,Varies,Case-by-case,Any industrial buyer outside MIDC,Sales alias
